,Portfolio Value,Daily Return,Cumulative Return
2026-07-02,10000.0,,0.0
2026-07-06,10063.012089831176,0.00630120898311759,0.00630120898311759
2026-07-07,10079.801298167937,0.0016684078471620456,0.007980129816793635
2026-07-08,10044.57018877159,-0.0034952186411403297,0.00445701887715888
2026-07-09,10093.380832490919,0.004859405908068881,0.00933808324909191
2026-07-10,10095.53503031705,0.00021342678552249694,0.009553503031705102
2026-07-13,10055.398380388318,-0.00397568329050435,0.005539838038831846
2026-07-14,10066.302750472689,0.0010844294449474656,0.006630275047268874
2026-07-15,10151.227778238126,0.00843656602335452,0.01512277782381255
2026-07-16,10146.21031804128,-0.000494271265156998,0.014621031804127993
2026-07-17,10069.105734030984,-0.007599348090901903,0.006910573403098308
2026-07-20,10057.502890026999,-0.001152321200160844,0.005750289002699915
2026-07-21,10110.87309932497,0.005306506981061165,0.01108730993249707
2026-07-22,10094.681423105376,-0.0016014122678164044,0.009468142310537608
2026-07-23,10028.818411138187,-0.006524526055516455,0.0028818411138187283
2026-07-24,10037.15814281286,0.0008315766955566684,0.0037158142812858674
2026-07-27,10078.4903250708,0.004117916811696043,0.007849032507079912
2026-07-28,10102.43183997719,0.0023755060663037675,0.010243183997718841
2026-07-29,10038.297717890699,-0.00634838453774067,0.003829771789069847
2026-07-30,10113.644263937998,0.007505908687387652,0.011364426393799754
2026-07-31,10116.207881411772,0.00025348108029810135,0.011620788141177174
2026-08-03,10185.633957855356,0.006862855850476635,0.018563395785535564
2026-08-04,10299.368899473,0.011166211360847944,0.02993688994730004
2026-08-05,10294.279619447023,-0.0004941351334873945,0.029427961944702208
2026-08-06,10317.990534387804,0.002303309781481744,0.03179905343878042
2026-08-07,10378.324590377786,0.0058474618472368345,0.03783245903777854
2026-08-10,10428.175737615304,0.004803390643971284,0.04281757376153039
2026-08-11,10406.870110134518,-0.0020430828954995928,0.040687011013451846
2026-08-12,10378.63748508008,-0.002712883389112686,0.037863748508008
2026-08-13,10413.796865433105,0.003387668217872397,0.04137968654331048
2026-08-14,10421.187680266185,0.0007097137507656726,0.0421187680266184
2026-08-17,10388.749494786036,-0.0031127148339891164,0.03887494947860359
2026-08-18,10368.716788269014,-0.001928307784019312,0.036871678826901455
2026-08-19,10436.54035611452,0.006541172763272041,0.04365403561145187
2026-08-20,10366.631816391126,-0.006698440032614439,0.03666318163911253
2026-08-21,10406.274974706064,0.003824111728580659,0.040627497470606455
2026-08-24,10411.789772449052,0.0005299492619974533,0.04117897724490516
2026-08-25,10457.730872957596,0.004412411459757903,0.045773087295759574
2026-08-26,10470.188022878407,0.0011911905242296683,0.04701880228784061
2026-08-27,10497.90024818259,0.002646774369632121,0.049790024818259004
2026-08-28,10472.800743940988,-0.002390907100298212,0.04728007439409887
2026-08-31,10447.841985241921,-0.002383198087054894,0.04478419852419213
2026-09-01,10447.237878332078,-5.782121424657838e-05,0.04472378783320785
2026-09-02,10477.454341038943,0.0028922920162022248,0.04774543410389431
2026-09-03,10575.546977607535,0.009362258557823022,0.057554697760753504
